eamena_id,arches_id,grid_square,country,name,role,problems
EAMENA-0272077,0792cdd8-ce5e-4474-b2dd-e8166b80030a,E37N35-24,Syrian Arab Republic,Michael Fradley,EAMENA Project Staff,False,0,"[""Geometry falls partially outside the assigned grid square.""]"
EAMENA-0272132,77625049-c92f-4414-aec7-eddb2238b8d8,E37N35-24,Syrian Arab Republic,Michael Fradley,EAMENA Project Staff,False,0,"[""Geometry falls partially outside the assigned grid square.""]"
EAMENA-0271978,e75a91a6-848b-47fb-9f84-83f6f19ca3d3,E37N35-24,Syrian Arab Republic,Michael Fradley,EAMENA Project Staff,False,0,"[""Geometry falls partially outside the assigned grid square.""]"
EAMENA-0010437,1a9853e1-518e-4e5a-bdee-819036f2b7e6,E39N24-44,Saudi Arabia,,,False,0,"[""Geometry falls entirely outside the assigned grid square.""]"
EAMENA-0010106,28a312f2-f0df-455c-b4ae-7b717dd2f6fd,E39N24-44,Saudi Arabia,,,False,0,"[""Geometry falls entirely outside the assigned grid square.""]"
EAMENA-0010409,6c3e1d86-df11-418d-9db4-67928876b8ad,E39N24-44,Saudi Arabia,,,False,0,"[""Geometry falls entirely outside the assigned grid square.""]"
EAMENA-0009417,ce8af31f-0223-46a2-b567-32fd4c7cfe88,E39N24-44,Saudi Arabia,,,False,0,"[""Geometry falls entirely outside the assigned grid square.""]"
EAMENA-0010433,d9d7cd5f-3f6e-42c4-bcc7-e26fc79de66e,E39N24-44,Saudi Arabia,,,False,0,"[""Geometry falls entirely outside the assigned grid square.""]"
EAMENA-0053744,47aa6df4-5f64-48a3-8f77-c2e2a35ffc83,E44N15-23,Yemen,,,False,0,"[""No geometry for site.""]"
EAMENA-0053685,491bae81-e904-4e1c-ac46-afacdb828aca,E44N15-23,Yemen,,,False,0,"[""No geometry for site.""]"
EAMENA-0053614,565c4e61-6a93-4350-ac2d-185d62a45fe6,E44N15-23,Yemen,,,False,0,"[""No geometry for site.""]"
EAMENA-0053879,cdd5fd1e-bd31-4b16-bcd4-76dec981a66b,E44N15-23,Yemen,,,False,0,"[""No geometry for site.""]"
EAMENA-0114757,0a4f945a-7e4b-4b02-a497-918bad3c99c4,E43N15-44,Yemen,Michael Fradley,,False,0,"[""No geometry for site.""]"
EAMENA-0096529,1dbc5ed7-f613-4b9a-9c59-f6bd26ac2a6e,E43N15-44,Yemen,Jennie Bradbury,,False,0,"[""No geometry for site.""]"
EAMENA-0052963,301437a9-0ab4-4db2-bbcd-73c2b84571a6,E43N15-44,Yemen,,,False,0,"[""No geometry for site.""]"
